title,author,isbn,publication_year,rating,reviews,genres,page_count,language,publisher,review_count_log,is_highly_rated,rating_category,decade,genre_count,avg_rating_by_author,total_books_by_author
The Pccqp5,Eahswbj Swmftno,978-1673036688,1955,3.2,3773,['Romance'],385,French,Publisher 39,8.235890725928495,False,Medium,1950,1,3.2,1
My Hztmax,Lsnov Cwrkhodh,978-1678172288,1902,2.8,3462,['Fantasy'],51,English,Publisher 24,8.149890544402421,False,Low,1900,1,2.8,1
An C1u1s0,Pxusu Uvsxlh,978-3344322362,1947,1.4,4941,"['History', 'Classics', 'Biography']",76,Spanish,Publisher 12,8.505525386548555,False,Low,1940,3,1.4,1
My Lpghnv,Jvnkd Uuunp,978-5288073335,1905,4.8,3034,['Science Fiction'],512,English,Publisher 33,8.017966703493599,True,High,1900,1,4.8,1
A Yzh5cm,Fkabpbyk Dcxozqz,978-3455982652,1934,3.2,183,['Romance'],73,English,Publisher 39,5.214935757608986,False,Medium,1930,1,3.2,1
A Blh7zl,Rktbj Cwqpg,978-9582398493,1987,4.1,4371,"['Mystery', 'Fiction']",721,French,Publisher 12,8.382975849296429,True,High,1980,2,4.1,1
A 1qv0ra,Ehogfo Xedvkp,978-7335142893,1914,2.3,2788,"['Romance', 'Fantasy']",421,German,Publisher 34,7.933438387627489,False,Low,1910,2,2.3,1
A Wbkefn,Rzoxtj Vinfax,978-9465245868,1933,2.4,303,"['Biography', 'Fiction']",551,French,Publisher 12,5.717027701406222,False,Low,1930,2,2.4,1
A Mdm58x,Kusnriz Hjmqquk,978-5235639874,1932,1.4,2834,"['Fiction', 'Thriller']",840,French,Publisher 24,7.949797216161852,False,Low,1930,2,1.4,1
The Fabzjg,Gxxjeieo Yddrwdi,978-9882207502,1921,1.8,1269,"['Mystery', 'History']",725,Spanish,Publisher 19,7.146772179452637,False,Low,1920,2,1.8,1
A 9gadb0,Quibkid Kkzsvkxb,978-3255170206,2010,2.5,4834,"['History', 'Science Fiction']",603,English,Publisher 48,8.483636407887394,False,Low,2010,2,2.5,1
An Dcez32,Swossum Rpufix,978-3624110458,1901,3.8,2784,"['Classics', 'Fantasy', 'Non-Fiction']",92,English,Publisher 40,7.932003152361384,False,Medium,1900,3,3.8,1
My 4tb8xp,Woqwvyr Fstpdf,978-8746286685,1928,4.0,3055,['Biography'],410,German,Publisher 36,8.024862150286411,True,Medium,1920,1,4.0,1
My Mp1vwo,Bacmxf Mxusdos,978-7559491821,1933,3.4,1555,['Fantasy'],397,English,Publisher 37,7.349873704738337,False,Medium,1930,1,3.4,1
A Naapsw,Fxjwchg Errrkv,978-8181080121,1953,1.3,4827,"['Science Fiction', 'Romance', 'Fantasy']",522,French,Publisher 35,8.482187582217422,False,Low,1950,3,1.3,1
An K5bcdy,Ifslqxmv Neesg,978-3449185032,1995,2.3,133,['Romance'],943,English,Publisher 34,4.897839799950911,False,Low,1990,1,2.3,1
An Jlga81,Yqtiqtt Dzvnhp,978-8411674657,1984,4.3,183,"['Non-Fiction', 'Romance']",939,German,Publisher 8,5.214935757608986,True,High,1980,2,4.3,1
An Maddsp,Bnyczwy Ipckur,978-2549949960,1965,3.3,705,"['Mystery', 'Classics']",582,Spanish,Publisher 49,6.559615237493242,False,Medium,1960,2,3.3,1
A Nhh98v,Idtoi Jkprgkq,978-4211119520,1918,2.4,1393,['Classics'],675,Spanish,Publisher 23,7.239932591320469,False,Low,1910,1,2.4,1
A Kspy2t,Fhtyh Mnajxb,978-9566584335,1901,1.1,4632,"['Biography', 'History', 'Classics']",410,French,Publisher 39,8.440959885416648,False,Low,1900,3,1.1,1
The Th2ymp,Fhxrkd Tadoa,978-8478248660,1997,3.7,684,['Fiction'],944,French,Publisher 36,6.529418838262225,False,Medium,1990,1,3.7,1
My Rdvl59,Adosga Owvgz,978-7439542286,1927,1.2,2621,['Mystery'],688,Spanish,Publisher 17,7.8716926643236445,False,Low,1920,1,1.2,1
A Zxsrfq,Lfrcjk Hjhqsgrn,978-3081588780,1976,1.1,1204,"['Non-Fiction', 'Thriller']",200,Chinese,Publisher 5,7.094234845924755,False,Low,1970,2,1.1,1
An Lcjcj9,Ekjlvruv Faxxcce,978-2959842424,1981,1.5,3294,"['Mystery', 'Science Fiction', 'Fantasy']",623,Spanish,Publisher 30,8.100161446936607,False,Low,1980,3,1.5,1
An Qvwijd,Zhlxu Jbmcpb,978-4605847826,1995,4.3,3832,['Mystery'],270,German,Publisher 10,8.251403065380554,True,High,1990,1,4.3,1
A Unqaty,Nwraiz Tfysqy,978-3991942750,2000,2.2,825,['Classics'],230,French,Publisher 11,6.716594773520978,False,Low,2000,1,2.2,1
The Mor8ee,Ewsebi Bazrvp,978-4490803362,1905,4.4,3932,"['Thriller', 'Science Fiction']",167,Spanish,Publisher 28,8.27715777243181,True,High,1900,2,4.4,1
An 2c8mhm,Gvgjfmn Hbhtnvw,978-3751665386,1977,1.6,3295,"['Mystery', 'Fiction', 'Thriller']",940,German,Publisher 46,8.100464891029363,False,Low,1970,3,1.6,1
My Zkjapf,Clyeiuxp Pgrggyyv,978-5720236205,1988,2.3,952,"['Biography', 'Fantasy']",256,French,Publisher 2,6.859614903654202,False,Low,1980,2,2.3,1
A 1luvip,Fxmjnbw Ypdjolhc,978-1864717783,1919,3.1,1541,['Biography'],70,German,Publisher 32,7.340835554123275,False,Medium,1910,1,3.1,1
The Faxqtp,Ayynrig Cukchjuj,978-2784346135,1980,4.5,3784,['Thriller'],194,German,Publisher 17,8.238801165871548,True,High,1980,1,4.5,1
My Pdxy2b,Tnhocul Ebezmwxq,978-5785374477,1978,2.0,2064,['Fiction'],571,German,Publisher 33,7.632885505395133,False,Low,1970,1,2.0,1
My Uvumav,Yywll Cvcfirv,978-9870088306,1975,2.9,500,['Fantasy'],387,Spanish,Publisher 12,6.2166061010848646,False,Low,1970,1,2.9,1
The Cc7bcd,Lbrugpxe Psjig,978-5852034154,1969,3.1,2312,['Non-Fiction'],790,Spanish,Publisher 37,7.746300662231439,False,Medium,1960,1,3.1,1
A Slbdi7,Phqhogkj Kuembh,978-8931973804,1912,3.0,1525,['Classics'],111,Spanish,Publisher 6,7.330405211844402,False,Low,1910,1,3.0,1
An Bo548u,Sdvvyxis Zzbjtbn,978-8581916169,1935,2.8,2838,"['Thriller', 'Science Fiction', 'Classics']",745,English,Publisher 7,7.951207156472971,False,Low,1930,3,2.8,1
An 2vo4nl,Ppxxdy Qiwwoo,978-8379547714,1985,3.6,2757,"['Fiction', 'History', 'Romance']",378,Spanish,Publisher 20,7.9222610583532465,False,Medium,1980,3,3.6,1
A Halogp,Mvbpgvm Wfrdeqe,978-8332733104,2002,3.2,3352,"['Fiction', 'Biography']",854,French,Publisher 46,8.117610746466228,False,Medium,2000,2,3.2,1
My Xmxd6r,Ztspwe Epbecnza,978-4980359296,1959,3.4,2538,"['Romance', 'History', 'Mystery']",325,English,Publisher 43,7.839525581704678,False,Medium,1950,3,3.4,1
The Fskn8m,Supqmt Tgwvn,978-5407476579,1960,3.9,3312,['Mystery'],589,German,Publisher 36,8.105609402299896,False,Medium,1960,1,3.9,1
An Dglofl,Eyawc Tvora,978-4908577659,1919,2.9,2054,"['Mystery', 'Biography', 'Thriller']",861,German,Publisher 50,7.628031126930335,False,Low,1910,3,2.9,1
A Ir835b,Ukrpmb Cgnievwt,978-9479847796,1957,4.1,1941,"['Thriller', 'Biography']",322,Spanish,Publisher 36,7.57147364885127,True,High,1950,2,4.1,1
An If8myu,Kzuyli Oggvonlq,978-6065079590,1962,3.7,672,"['Biography', 'History', 'Non-Fiction']",710,English,Publisher 34,6.511745329644728,False,Medium,1960,3,3.7,1
A Qkyoz3,Jaqkoxsk Lkvqqdh,978-9606443713,1999,4.5,1822,"['History', 'Fantasy', 'Science Fiction']",244,French,Publisher 30,7.508238774678663,True,High,1990,3,4.5,1
An 523yog,Ehjaksy Ntcfeh,978-4923577003,1966,5.0,1663,"['History', 'Mystery', 'Classics']",475,French,Publisher 40,7.416979621381154,True,High,1960,3,5.0,1
My Tspsek,Lpebqrzg Irpwbo,978-5462801257,1926,3.4,328,['Fantasy'],67,German,Publisher 27,5.796057750765372,False,Medium,1920,1,3.4,1
My Ondg7z,Mkxait Pmrkh,978-5210389216,2011,2.4,1171,"['Fantasy', 'Non-Fiction']",619,English,Publisher 36,7.066466970136958,False,Low,2010,2,2.4,1
My 0hs23a,Zrjdchhc Yvfbp,978-7201820491,2006,2.1,1345,"['Classics', 'Non-Fiction']",87,Chinese,Publisher 49,7.204892510204673,False,Low,2000,2,2.1,1
My Gmzuzy,Tpvcqwz Cuwmhwz,978-3224141412,1955,4.7,4422,"['Classics', 'Science Fiction']",328,Spanish,Publisher 34,8.394573477868326,True,High,1950,2,4.7,1
My Eoleeg,Vafhpdia Sskgey,978-4435851060,1941,4.7,405,"['History', 'Romance']",485,German,Publisher 3,6.0063531596017325,True,High,1940,2,4.7,1
The Mqragn,Idgcl Pjlqxf,978-6877800620,2015,2.2,792,"['History', 'Biography']",951,French,Publisher 50,6.675823221634848,False,Low,2010,2,2.2,1
An Adpdrc,Tnexzazt Ghlod,978-2944918309,1959,3.2,1179,"['History', 'Fiction', 'Fantasy']",233,French,Publisher 9,7.07326971745971,False,Medium,1950,3,3.2,1
My Ua3qtb,Ahjzwb Vnzjl,978-3299702209,1917,4.9,3432,"['Romance', 'Non-Fiction', 'Classics']",242,German,Publisher 40,8.141189793457691,True,High,1910,3,4.9,1
An Gxf0wq,Mxjvtw Tcljb,978-4509288902,2015,1.8,4508,['Fiction'],539,Spanish,Publisher 37,8.413830678421084,False,Low,2010,1,1.8,1
A 1eyijo,Mqzfb Zqcty,978-5673333256,1902,2.7,2900,"['Science Fiction', 'Biography']",449,French,Publisher 12,7.972810784121403,False,Low,1900,2,2.7,1
The Gihive,Ukagbpn Yvoarm,978-7971434216,1979,2.6,4214,"['Thriller', 'Non-Fiction']",571,Chinese,Publisher 8,8.346404870435956,False,Low,1970,2,2.6,1
The Exe0xa,Rzdafy Bxvkai,978-6917902964,1980,1.2,4281,['Thriller'],121,German,Publisher 50,8.362175469149628,False,Low,1980,1,1.2,1
A Metm9z,Niejfrif Ujaiux,978-7718918761,1901,2.1,313,"['Mystery', 'Science Fiction']",777,French,Publisher 16,5.749392985908253,False,Low,1900,2,2.1,1
My Trmuag,Qfzefbzy Gzdxrhe,978-1626760174,2010,2.0,1459,"['Non-Fiction', 'Biography', 'Thriller']",507,Chinese,Publisher 33,7.286191714702382,False,Low,2010,3,2.0,1
An Dfhjx7,Gwivbnm Qukpiw,978-4386967225,1971,1.9,4219,"['Classics', 'History', 'Fiction']",398,German,Publisher 1,8.347590407030058,False,Low,1970,3,1.9,1
My 7rvkjs,Ovqmo Qlssauy,978-4681219743,1914,3.5,4269,"['Thriller', 'Fantasy', 'Romance']",581,English,Publisher 20,8.35936910622267,False,Medium,1910,3,3.5,1
A Exbhdy,Pfjegm Ezrew,978-5091246726,1972,2.8,1155,['Romance'],693,French,Publisher 30,7.052721049232322,False,Low,1970,1,2.8,1
My 9s5lda,Xijzegdx Nfmmohi,978-4367273015,1921,2.5,1460,"['Fiction', 'Mystery', 'Fantasy']",461,English,Publisher 8,7.2868764117507,False,Low,1920,3,2.5,1
The Cfsqkh,Dhumdqe Nflmx,978-7596496143,1952,3.3,2927,"['Thriller', 'Romance', 'Non-Fiction']",672,Chinese,Publisher 20,7.982074875081202,False,Medium,1950,3,3.3,1
A N0x0wc,Nvtryi Ouyxhhxj,978-5279398881,1968,3.0,84,"['Romance', 'Biography']",977,Chinese,Publisher 38,4.442651256490317,False,Low,1960,2,3.0,1
The J8wmqp,Eysnqn Qxodt,978-5662967921,1975,4.9,3563,"['Biography', 'Romance', 'Classics']",726,Chinese,Publisher 18,8.1786387885907,True,High,1970,3,4.9,1
My Njk7zf,Rjngmg Kmcspggw,978-8385798996,1998,2.7,2015,"['Fiction', 'History', 'Science Fiction']",450,English,Publisher 34,7.608870629191259,False,Low,1990,3,2.7,1
An S25jhi,Zsysukq Gxclasq,978-2974310320,1962,4.1,318,"['Classics', 'Thriller', 'Non-Fiction']",460,Chinese,Publisher 26,5.765191102784844,True,High,1960,3,4.1,1
A Hsurkg,Gvuxo Bctkid,978-8714689726,1908,1.9,63,"['Mystery', 'Thriller']",320,Chinese,Publisher 3,4.1588830833596715,False,Low,1900,2,1.9,1
My Qfvxkx,Vrmeu Gryhdch,978-9937055227,1995,2.2,1520,['Romance'],769,German,Publisher 4,7.327123292259293,False,Low,1990,1,2.2,1
My Hyoeqx,Uymvih Divod,978-7189357003,1947,4.0,2456,['Biography'],605,Spanish,Publisher 8,7.806696372521179,True,Medium,1940,1,4.0,1
The 3a2tid,Twhxkke Ofxriros,978-6555714991,2023,4.6,4001,['Non-Fiction'],834,Chinese,Publisher 16,8.294549515143679,True,High,2020,1,4.6,1
My Sbrymf,Ndbmmna Gbpotpaw,978-1359481671,1950,1.3,1775,['Thriller'],488,English,Publisher 42,7.4821189235521155,False,Low,1950,1,1.3,1
The Sibfvx,Pqjksd Lplnsul,978-9784358561,2023,2.9,1569,['Mystery'],461,Chinese,Publisher 44,7.358830898342354,False,Low,2020,1,2.9,1
The 8kolxs,Gcijsntz Pxvcvi,978-3645607356,1915,3.9,201,['Mystery'],334,German,Publisher 47,5.308267697401204,False,Medium,1910,1,3.9,1
My Zbagkb,Hdhbhbwm Zsgopgr,978-1506687524,1917,2.7,2020,['Non-Fiction'],680,Chinese,Publisher 48,7.61134771740362,False,Low,1910,1,2.7,1
The Bpmd7t,Cdesqh Yuqwzoc,978-1293330083,1927,3.4,3591,"['Fantasy', 'Biography', 'History']",680,Spanish,Publisher 33,8.18646442942209,False,Medium,1920,3,3.4,1
An Utcukr,Uuneyf Dnueft,978-8418602682,1949,2.6,1505,['Biography'],643,Chinese,Publisher 16,7.317212408359839,False,Low,1940,1,2.6,1
My Diylmc,Jamosyqu Bqqol,978-3813739449,1998,1.8,1245,"['Classics', 'Fantasy', 'Fiction']",274,French,Publisher 24,7.1276936993473985,False,Low,1990,3,1.8,1
The On26jj,Sosmhilm Felfojp,978-5653228751,1983,3.5,4187,"['Fantasy', 'History']",413,English,Publisher 7,8.339978571990427,False,Medium,1980,2,3.5,1
A Sptgnh,Bqkhqfzd Oaxugo,978-7817806092,1927,1.8,1998,"['Fiction', 'Biography', 'Fantasy']",955,French,Publisher 6,7.6004023345004,False,Low,1920,3,1.8,1
The Gln1lo,Gxqen Gkrafx,978-7503381413,1918,2.5,1926,['Science Fiction'],534,Chinese,Publisher 1,7.563719668414366,False,Low,1910,1,2.5,1
An Rfruhr,Ddjoci Fjlix,978-9729926393,1918,4.5,4304,"['Mystery', 'Thriller']",377,German,Publisher 13,8.367532416861831,True,High,1910,2,4.5,1
An Agqilz,Zmrocc Ulckqad,978-1245095594,1950,2.6,337,"['Thriller', 'Classics']",364,Chinese,Publisher 49,5.823045895483019,False,Low,1950,2,2.6,1
An M19pjk,Hnmetko Gwoolrt,978-6063247730,1926,1.8,1222,"['Non-Fiction', 'Romance']",584,German,Publisher 6,7.109062135687172,False,Low,1920,2,1.8,1
A E5zzmc,Sjkliwno Mhqez,978-9748315713,1985,4.2,1633,"['Fantasy', 'Thriller', 'Science Fiction']",169,French,Publisher 43,7.398786275419948,True,High,1980,3,4.2,1
An Ros757,Ltqxo Xdsuqudo,978-9720702769,1972,4.5,1954,['Thriller'],903,English,Publisher 17,7.5781454724194655,True,High,1970,1,4.5,1
A Zfczko,Lzfcj Lwfofmx,978-3921448420,1990,5.0,3359,"['Thriller', 'Classics', 'Romance']",302,Chinese,Publisher 41,8.11969625295725,True,High,1990,3,5.0,1
An 6lx7wg,Kfxurgk Bhogd,978-7023607511,1906,2.8,1523,"['Mystery', 'Classics']",993,German,Publisher 44,7.329093736246591,False,Low,1900,2,2.8,1
The Rnpdea,Kvzjxk Qlncwaah,978-4790602775,1981,2.3,111,"['History', 'Thriller', 'Classics']",611,English,Publisher 39,4.718498871295094,False,Low,1980,3,2.3,1
An Gb6ifq,Wfjkdj Embfhxx,978-8496587817,1972,3.8,4269,"['Mystery', 'Romance']",460,German,Publisher 15,8.35936910622267,False,Medium,1970,2,3.8,1
A Drozyn,Bqils Zabbif,978-2899210542,1930,4.8,1902,['Fantasy'],686,Spanish,Publisher 28,7.551186867296149,True,High,1930,1,4.8,1
A Lo8nw7,Xcyhnl Dopzru,978-3699032897,1970,4.2,1840,"['Fantasy', 'Classics']",546,English,Publisher 27,7.518064181233077,True,High,1970,2,4.2,1
A Vbtmay,Slkhrud Ivsrllhl,978-9487547181,2024,2.6,2187,"['Biography', 'Romance']",985,German,Publisher 48,7.690743163541872,False,Low,2020,2,2.6,1
A 99mtwa,Ctgtvkb Gcghytey,978-1182001860,1923,1.4,1782,"['Thriller', 'Science Fiction', 'Non-Fiction']",681,Spanish,Publisher 48,7.48605261786314,False,Low,1920,3,1.4,1
An Ql1qfy,Pcxluzb Ewjhfs,978-6269045046,1996,4.7,3958,"['Thriller', 'Fantasy', 'Classics']",736,Spanish,Publisher 23,8.28374674710613,True,High,1990,3,4.7,1
The 7ok5de,Lmzbvoa Sjbsy,978-4776805887,2019,1.3,2207,"['Classics', 'Thriller']",372,Spanish,Publisher 11,7.699842407396986,False,Low,2010,2,1.3,1
A Dtecgw,Frwkzd Bqhdq,978-3416225363,1938,2.7,2338,"['Romance', 'Fiction', 'Mystery']",275,Chinese,Publisher 42,7.757478766584179,False,Low,1930,3,2.7,1
A U9nnuf,Efrzsxev Gyqqidsf,978-6488095578,1933,3.2,2056,['Biography'],772,German,Publisher 37,7.629003889652957,False,Medium,1930,1,3.2,1
An Gcgits,Fzuzaas Qpkgvzs,978-9994648902,2006,1.7,283,"['Romance', 'Non-Fiction']",896,German,Publisher 31,5.648974238161206,False,Low,2000,2,1.7,1
An Cyh3ie,Gzdhfr Mpscgmdo,978-2953307032,1926,3.6,3704,"['Biography', 'Science Fiction', 'Mystery']",825,French,Publisher 24,8.217438537730187,False,Medium,1920,3,3.6,1
My Dcpnj1,Hjoqp Koytjc,978-6228344059,1909,3.9,2163,['Fiction'],863,German,Publisher 19,7.679713639966372,False,Medium,1900,1,3.9,1
My Fkdsfe,Vgxvm Owvhtx,978-8828887564,1970,4.9,2765,['History'],603,French,Publisher 3,7.925157512224703,True,High,1970,1,4.9,1
A Qkrd2c,Vkbnmxa Lfacrc,978-3465439919,1952,1.8,2473,"['Classics', 'Romance']",629,Chinese,Publisher 27,7.813591552952433,False,Low,1950,2,1.8,1
An X0gwtu,Zcqrxn Qcrjaik,978-2390459699,1918,1.5,1539,"['Non-Fiction', 'Fiction']",738,Spanish,Publisher 14,7.3395376954076745,False,Low,1910,2,1.5,1
A 0zbmvv,Wptjfnld Eghupk,978-6089957532,1948,1.7,4256,"['Romance', 'Biography', 'Fiction']",451,English,Publisher 42,8.356319965828153,False,Low,1940,3,1.7,1
The 33jhcp,Clyqrnt Phqpq,978-9212462117,2005,2.5,680,['Non-Fiction'],319,German,Publisher 36,6.523562306149512,False,Low,2000,1,2.5,1
The Gwt3tc,Xtkpuzw Xfmhvd,978-6518664749,1929,1.5,3641,"['Classics', 'Thriller', 'History']",810,Spanish,Publisher 21,8.200288260287554,False,Low,1920,3,1.5,1
My Smgxnt,Hscptxf Cyqiwqti,978-5181776623,1943,4.5,2683,['Classics'],304,German,Publisher 28,7.895063498091572,True,High,1940,1,4.5,1
A Yawttj,Iaojnl Yitlm,978-9073691833,1930,4.1,3472,['Mystery'],514,Spanish,Publisher 43,8.152774052744073,True,High,1930,1,4.1,1
The Uzwcyy,Diwavpzm Mffedenu,978-6395832598,1929,5.0,479,['Thriller'],935,English,Publisher 34,6.173786103901937,True,High,1920,1,5.0,1
The M7om89,Cstxbb Dpqucdnc,978-1948710149,1967,4.6,521,"['History', 'Mystery']",199,Chinese,Publisher 13,6.257667587882638,True,High,1960,2,4.6,1
My Ro5zf6,Whpffn Dwihbymv,978-6733141386,1941,4.5,471,"['Romance', 'Science Fiction']",964,German,Publisher 17,6.156978985585555,True,High,1940,2,4.5,1
The R4yfj7,Ysxbjq Wsgqxvsv,978-3972903374,1993,3.2,2974,"['Biography', 'Romance', 'Fiction']",688,Spanish,Publisher 4,7.99799931797973,False,Medium,1990,3,3.2,1
My 5fxxwg,Dcqmee Hqccgy,978-9956784685,1989,2.2,1714,"['Fantasy', 'Classics']",368,Spanish,Publisher 28,7.44716835960004,False,Low,1980,2,2.2,1
My Ral7ah,Nbjwrs Rersgm,978-3075048298,2021,4.6,1187,"['Science Fiction', 'Fantasy']",536,German,Publisher 21,7.08002649992259,True,High,2020,2,4.6,1
An D0jdbp,Naccx Rpeqlgf,978-2403429041,1979,4.2,702,['Fantasy'],755,English,Publisher 10,6.555356891810665,True,High,1970,1,4.2,1
An 4cuxdh,Cozphz Vekcjqlw,978-4384684363,2008,2.3,2707,['Non-Fiction'],399,French,Publisher 8,7.903965634032165,False,Low,2000,1,2.3,1
The Rfemdb,Sdnucg Jtgxjd,978-9219896040,1986,3.6,558,"['History', 'Non-Fiction']",830,Spanish,Publisher 45,6.326149473155099,False,Medium,1980,2,3.6,1
My Vjkyid,Xkobnred Cbpyv,978-2836219878,1941,3.6,2666,"['Fantasy', 'Non-Fiction']",245,Chinese,Publisher 15,7.888709524182014,False,Medium,1940,2,3.6,1
My Yplxjh,Bcnxg Znivynbp,978-6971628820,1944,1.6,4358,"['Thriller', 'Non-Fiction']",701,Chinese,Publisher 25,8.379997952238393,False,Low,1940,2,1.6,1
The Te1mvj,Hjgph Bapkvq,978-8059076207,1999,4.8,2760,"['History', 'Science Fiction']",882,Chinese,Publisher 5,7.923348211930154,True,High,1990,2,4.8,1
My Qc8khk,Vbyzomh Mfrod,978-5757549645,1970,4.1,103,"['Fantasy', 'History', 'Science Fiction']",174,Spanish,Publisher 13,4.6443908991413725,True,High,1970,3,4.1,1
An W4meyy,Brxrgrf Uxdfg,978-2311399370,1965,2.6,740,"['History', 'Romance', 'Non-Fiction']",723,Chinese,Publisher 29,6.608000625296087,False,Low,1960,3,2.6,1
An 9kq281,Jzwaq Sxnrfn,978-4295921040,1960,3.4,420,['Biography'],962,German,Publisher 4,6.042632833682381,False,Medium,1960,1,3.4,1
An Hctg2x,Nvtjhl Tncdgs,978-1832911658,1983,2.1,2199,"['Science Fiction', 'Non-Fiction', 'Biography']",851,English,Publisher 32,7.696212639346407,False,Low,1980,3,2.1,1
A 71bdk3,Trdco Swvkrf,978-3208787712,1917,1.5,4625,"['Biography', 'Non-Fiction', 'Romance']",767,French,Publisher 25,8.439447842791385,False,Low,1910,3,1.5,1
My Whiojp,Lajeclfw Fsmiqogr,978-4155980701,2017,1.1,4624,"['Fiction', 'Thriller', 'Non-Fiction']",832,French,Publisher 11,8.439231649946525,False,Low,2010,3,1.1,1
