title,author,isbn,publication_year,rating,reviews,genres,page_count,language,publisher
My Lpghnv,Jvnkd Uuunp,978-5288073335,1905,4.8,3034,['Science Fiction'],512,English,Publisher 33
A Yzh5cm,Fkabpbyk Dcxozqz,978-3455982652,1934,3.2,183,['Romance'],73,English,Publisher 39
A Blh7zl,Rktbj Cwqpg,978-9582398493,1987,4.1,4371,"['Mystery', 'Fiction']",721,French,Publisher 12
A 1qv0ra,Ehogfo Xedvkp,978-7335142893,1914,2.3,2788,"['Romance', 'Fantasy']",421,German,Publisher 34
A Wbkefn,Rzoxtj Vinfax,978-9465245868,1933,2.4,303,"['Biography', 'Fiction']",551,French,Publisher 12
A Mdm58x,Kusnriz Hjmqquk,978-5235639874,1932,1.4,2834,"['Fiction', 'Thriller']",840,French,Publisher 24
The Fabzjg,Gxxjeieo Yddrwdi,978-9882207502,1921,1.8,1269,"['Mystery', 'History']",725,Spanish,Publisher 19
A 9gadb0,Quibkid Kkzsvkxb,978-3255170206,2010,2.5,4834,"['History', 'Science Fiction']",603,English,Publisher 48
An Dcez32,Swossum Rpufix,978-3624110458,1901,3.8,2784,"['Classics', 'Fantasy', 'Non-Fiction']",92,English,Publisher 40
My 4tb8xp,Woqwvyr Fstpdf,978-8746286685,1928,4.0,3055,['Biography'],410,German,Publisher 36
My Mp1vwo,Bacmxf Mxusdos,978-7559491821,1933,3.4,1555,['Fantasy'],397,English,Publisher 37
A Naapsw,Fxjwchg Errrkv,978-8181080121,1953,1.3,4827,"['Science Fiction', 'Romance', 'Fantasy']",522,French,Publisher 35
An K5bcdy,Ifslqxmv Neesg,978-3449185032,1995,2.3,133,['Romance'],943,English,Publisher 34
An Jlga81,Yqtiqtt Dzvnhp,978-8411674657,1984,4.3,183,"['Non-Fiction', 'Romance']",939,German,Publisher 8
An Maddsp,Bnyczwy Ipckur,978-2549949960,1965,3.3,705,"['Mystery', 'Classics']",582,Spanish,Publisher 49
A Nhh98v,Idtoi Jkprgkq,978-4211119520,1918,2.4,1393,['Classics'],675,Spanish,Publisher 23
A Kspy2t,Fhtyh Mnajxb,978-9566584335,1901,1.1,4632,"['Biography', 'History', 'Classics']",410,French,Publisher 39
The Th2ymp,Fhxrkd Tadoa,978-8478248660,1997,3.7,684,['Fiction'],944,French,Publisher 36
My Rdvl59,Adosga Owvgz,978-7439542286,1927,1.2,2621,['Mystery'],688,Spanish,Publisher 17
A Zxsrfq,Lfrcjk Hjhqsgrn,978-3081588780,1976,1.1,1204,"['Non-Fiction', 'Thriller']",200,Chinese,Publisher 5
An Lcjcj9,Ekjlvruv Faxxcce,978-2959842424,1981,1.5,3294,"['Mystery', 'Science Fiction', 'Fantasy']",623,Spanish,Publisher 30
An Qvwijd,Zhlxu Jbmcpb,978-4605847826,1995,4.3,3832,['Mystery'],270,German,Publisher 10
A Unqaty,Nwraiz Tfysqy,978-3991942750,2000,2.2,825,['Classics'],230,French,Publisher 11
The Mor8ee,Ewsebi Bazrvp,978-4490803362,1905,4.4,3932,"['Thriller', 'Science Fiction']",167,Spanish,Publisher 28
An 2c8mhm,Gvgjfmn Hbhtnvw,978-3751665386,1977,1.6,3295,"['Mystery', 'Fiction', 'Thriller']",940,German,Publisher 46
My Zkjapf,Clyeiuxp Pgrggyyv,978-5720236205,1988,2.3,952,"['Biography', 'Fantasy']",256,French,Publisher 2
A 1luvip,Fxmjnbw Ypdjolhc,978-1864717783,1919,3.1,1541,['Biography'],70,German,Publisher 32
The Faxqtp,Ayynrig Cukchjuj,978-2784346135,1980,4.5,3784,['Thriller'],194,German,Publisher 17
My Pdxy2b,Tnhocul Ebezmwxq,978-5785374477,1978,2.0,2064,['Fiction'],571,German,Publisher 33
My Uvumav,Yywll Cvcfirv,978-9870088306,1975,2.9,500,['Fantasy'],387,Spanish,Publisher 12
The Cc7bcd,Lbrugpxe Psjig,978-5852034154,1969,3.1,2312,['Non-Fiction'],790,Spanish,Publisher 37
A Slbdi7,Phqhogkj Kuembh,978-8931973804,1912,3.0,1525,['Classics'],111,Spanish,Publisher 6
An Bo548u,Sdvvyxis Zzbjtbn,978-8581916169,1935,2.8,2838,"['Thriller', 'Science Fiction', 'Classics']",745,English,Publisher 7
An 2vo4nl,Ppxxdy Qiwwoo,978-8379547714,1985,3.6,2757,"['Fiction', 'History', 'Romance']",378,Spanish,Publisher 20
A Halogp,Mvbpgvm Wfrdeqe,978-8332733104,2002,3.2,3352,"['Fiction', 'Biography']",854,French,Publisher 46
My Xmxd6r,Ztspwe Epbecnza,978-4980359296,1959,3.4,2538,"['Romance', 'History', 'Mystery']",325,English,Publisher 43
The Fskn8m,Supqmt Tgwvn,978-5407476579,1960,3.9,3312,['Mystery'],589,German,Publisher 36
An Dglofl,Eyawc Tvora,978-4908577659,1919,2.9,2054,"['Mystery', 'Biography', 'Thriller']",861,German,Publisher 50
A Ir835b,Ukrpmb Cgnievwt,978-9479847796,1957,4.1,1941,"['Thriller', 'Biography']",322,Spanish,Publisher 36
An If8myu,Kzuyli Oggvonlq,978-6065079590,1962,3.7,672,"['Biography', 'History', 'Non-Fiction']",710,English,Publisher 34
A Qkyoz3,Jaqkoxsk Lkvqqdh,978-9606443713,1999,4.5,1822,"['History', 'Fantasy', 'Science Fiction']",244,French,Publisher 30
An 523yog,Ehjaksy Ntcfeh,978-4923577003,1966,5.0,1663,"['History', 'Mystery', 'Classics']",475,French,Publisher 40
My Tspsek,Lpebqrzg Irpwbo,978-5462801257,1926,3.4,328,['Fantasy'],67,German,Publisher 27
My Ondg7z,Mkxait Pmrkh,978-5210389216,2011,2.4,1171,"['Fantasy', 'Non-Fiction']",619,English,Publisher 36
My 0hs23a,Zrjdchhc Yvfbp,978-7201820491,2006,2.1,1345,"['Classics', 'Non-Fiction']",87,Chinese,Publisher 49
My Gmzuzy,Tpvcqwz Cuwmhwz,978-3224141412,1955,4.7,4422,"['Classics', 'Science Fiction']",328,Spanish,Publisher 34
My Eoleeg,Vafhpdia Sskgey,978-4435851060,1941,4.7,405,"['History', 'Romance']",485,German,Publisher 3
The Mqragn,Idgcl Pjlqxf,978-6877800620,2015,2.2,792,"['History', 'Biography']",951,French,Publisher 50
An Adpdrc,Tnexzazt Ghlod,978-2944918309,1959,3.2,1179,"['History', 'Fiction', 'Fantasy']",233,French,Publisher 9
My Ua3qtb,Ahjzwb Vnzjl,978-3299702209,1917,4.9,3432,"['Romance', 'Non-Fiction', 'Classics']",242,German,Publisher 40
An Gxf0wq,Mxjvtw Tcljb,978-4509288902,2015,1.8,4508,['Fiction'],539,Spanish,Publisher 37
A 1eyijo,Mqzfb Zqcty,978-5673333256,1902,2.7,2900,"['Science Fiction', 'Biography']",449,French,Publisher 12
The Gihive,Ukagbpn Yvoarm,978-7971434216,1979,2.6,4214,"['Thriller', 'Non-Fiction']",571,Chinese,Publisher 8
The Exe0xa,Rzdafy Bxvkai,978-6917902964,1980,1.2,4281,['Thriller'],121,German,Publisher 50
A Metm9z,Niejfrif Ujaiux,978-7718918761,1901,2.1,313,"['Mystery', 'Science Fiction']",777,French,Publisher 16
My Trmuag,Qfzefbzy Gzdxrhe,978-1626760174,2010,2.0,1459,"['Non-Fiction', 'Biography', 'Thriller']",507,Chinese,Publisher 33
An Dfhjx7,Gwivbnm Qukpiw,978-4386967225,1971,1.9,4219,"['Classics', 'History', 'Fiction']",398,German,Publisher 1
My 7rvkjs,Ovqmo Qlssauy,978-4681219743,1914,3.5,4269,"['Thriller', 'Fantasy', 'Romance']",581,English,Publisher 20
A Exbhdy,Pfjegm Ezrew,978-5091246726,1972,2.8,1155,['Romance'],693,French,Publisher 30
My 9s5lda,Xijzegdx Nfmmohi,978-4367273015,1921,2.5,1460,"['Fiction', 'Mystery', 'Fantasy']",461,English,Publisher 8
The Cfsqkh,Dhumdqe Nflmx,978-7596496143,1952,3.3,2927,"['Thriller', 'Romance', 'Non-Fiction']",672,Chinese,Publisher 20
A N0x0wc,Nvtryi Ouyxhhxj,978-5279398881,1968,3.0,84,"['Romance', 'Biography']",977,Chinese,Publisher 38
The J8wmqp,Eysnqn Qxodt,978-5662967921,1975,4.9,3563,"['Biography', 'Romance', 'Classics']",726,Chinese,Publisher 18
My Njk7zf,Rjngmg Kmcspggw,978-8385798996,1998,2.7,2015,"['Fiction', 'History', 'Science Fiction']",450,English,Publisher 34
An S25jhi,Zsysukq Gxclasq,978-2974310320,1962,4.1,318,"['Classics', 'Thriller', 'Non-Fiction']",460,Chinese,Publisher 26
A Hsurkg,Gvuxo Bctkid,978-8714689726,1908,1.9,63,"['Mystery', 'Thriller']",320,Chinese,Publisher 3
My Qfvxkx,Vrmeu Gryhdch,978-9937055227,1995,2.2,1520,['Romance'],769,German,Publisher 4
My Hyoeqx,Uymvih Divod,978-7189357003,1947,4.0,2456,['Biography'],605,Spanish,Publisher 8
The 3a2tid,Twhxkke Ofxriros,978-6555714991,2023,4.6,4001,['Non-Fiction'],834,Chinese,Publisher 16
My Sbrymf,Ndbmmna Gbpotpaw,978-1359481671,1950,1.3,1775,['Thriller'],488,English,Publisher 42
The Sibfvx,Pqjksd Lplnsul,978-9784358561,2023,2.9,1569,['Mystery'],461,Chinese,Publisher 44
The 8kolxs,Gcijsntz Pxvcvi,978-3645607356,1915,3.9,201,['Mystery'],334,German,Publisher 47
My Zbagkb,Hdhbhbwm Zsgopgr,978-1506687524,1917,2.7,2020,['Non-Fiction'],680,Chinese,Publisher 48
The Bpmd7t,Cdesqh Yuqwzoc,978-1293330083,1927,3.4,3591,"['Fantasy', 'Biography', 'History']",680,Spanish,Publisher 33
An Utcukr,Uuneyf Dnueft,978-8418602682,1949,2.6,1505,['Biography'],643,Chinese,Publisher 16
My Diylmc,Jamosyqu Bqqol,978-3813739449,1998,1.8,1245,"['Classics', 'Fantasy', 'Fiction']",274,French,Publisher 24
The On26jj,Sosmhilm Felfojp,978-5653228751,1983,3.5,4187,"['Fantasy', 'History']",413,English,Publisher 7
A Sptgnh,Bqkhqfzd Oaxugo,978-7817806092,1927,1.8,1998,"['Fiction', 'Biography', 'Fantasy']",955,French,Publisher 6
The Gln1lo,Gxqen Gkrafx,978-7503381413,1918,2.5,1926,['Science Fiction'],534,Chinese,Publisher 1
An Rfruhr,Ddjoci Fjlix,978-9729926393,1918,4.5,4304,"['Mystery', 'Thriller']",377,German,Publisher 13
An Agqilz,Zmrocc Ulckqad,978-1245095594,1950,2.6,337,"['Thriller', 'Classics']",364,Chinese,Publisher 49
An M19pjk,Hnmetko Gwoolrt,978-6063247730,1926,1.8,1222,"['Non-Fiction', 'Romance']",584,German,Publisher 6
A E5zzmc,Sjkliwno Mhqez,978-9748315713,1985,4.2,1633,"['Fantasy', 'Thriller', 'Science Fiction']",169,French,Publisher 43
An Ros757,Ltqxo Xdsuqudo,978-9720702769,1972,4.5,1954,['Thriller'],903,English,Publisher 17
A Zfczko,Lzfcj Lwfofmx,978-3921448420,1990,5.0,3359,"['Thriller', 'Classics', 'Romance']",302,Chinese,Publisher 41
An 6lx7wg,Kfxurgk Bhogd,978-7023607511,1906,2.8,1523,"['Mystery', 'Classics']",993,German,Publisher 44
The Rnpdea,Kvzjxk Qlncwaah,978-4790602775,1981,2.3,111,"['History', 'Thriller', 'Classics']",611,English,Publisher 39
An Gb6ifq,Wfjkdj Embfhxx,978-8496587817,1972,3.8,4269,"['Mystery', 'Romance']",460,German,Publisher 15
A Drozyn,Bqils Zabbif,978-2899210542,1930,4.8,1902,['Fantasy'],686,Spanish,Publisher 28
A Lo8nw7,Xcyhnl Dopzru,978-3699032897,1970,4.2,1840,"['Fantasy', 'Classics']",546,English,Publisher 27
A Vbtmay,Slkhrud Ivsrllhl,978-9487547181,2024,2.6,2187,"['Biography', 'Romance']",985,German,Publisher 48
A 99mtwa,Ctgtvkb Gcghytey,978-1182001860,1923,1.4,1782,"['Thriller', 'Science Fiction', 'Non-Fiction']",681,Spanish,Publisher 48
An Ql1qfy,Pcxluzb Ewjhfs,978-6269045046,1996,4.7,3958,"['Thriller', 'Fantasy', 'Classics']",736,Spanish,Publisher 23
The 7ok5de,Lmzbvoa Sjbsy,978-4776805887,2019,1.3,2207,"['Classics', 'Thriller']",372,Spanish,Publisher 11
A Dtecgw,Frwkzd Bqhdq,978-3416225363,1938,2.7,2338,"['Romance', 'Fiction', 'Mystery']",275,Chinese,Publisher 42
A U9nnuf,Efrzsxev Gyqqidsf,978-6488095578,1933,3.2,2056,['Biography'],772,German,Publisher 37
An Gcgits,Fzuzaas Qpkgvzs,978-9994648902,2006,1.7,283,"['Romance', 'Non-Fiction']",896,German,Publisher 31
An Cyh3ie,Gzdhfr Mpscgmdo,978-2953307032,1926,3.6,3704,"['Biography', 'Science Fiction', 'Mystery']",825,French,Publisher 24
My Dcpnj1,Hjoqp Koytjc,978-6228344059,1909,3.9,2163,['Fiction'],863,German,Publisher 19
My Fkdsfe,Vgxvm Owvhtx,978-8828887564,1970,4.9,2765,['History'],603,French,Publisher 3
A Qkrd2c,Vkbnmxa Lfacrc,978-3465439919,1952,1.8,2473,"['Classics', 'Romance']",629,Chinese,Publisher 27
An X0gwtu,Zcqrxn Qcrjaik,978-2390459699,1918,1.5,1539,"['Non-Fiction', 'Fiction']",738,Spanish,Publisher 14
A 0zbmvv,Wptjfnld Eghupk,978-6089957532,1948,1.7,4256,"['Romance', 'Biography', 'Fiction']",451,English,Publisher 42
The 33jhcp,Clyqrnt Phqpq,978-9212462117,2005,2.5,680,['Non-Fiction'],319,German,Publisher 36
The Gwt3tc,Xtkpuzw Xfmhvd,978-6518664749,1929,1.5,3641,"['Classics', 'Thriller', 'History']",810,Spanish,Publisher 21
My Smgxnt,Hscptxf Cyqiwqti,978-5181776623,1943,4.5,2683,['Classics'],304,German,Publisher 28
A Yawttj,Iaojnl Yitlm,978-9073691833,1930,4.1,3472,['Mystery'],514,Spanish,Publisher 43
The Uzwcyy,Diwavpzm Mffedenu,978-6395832598,1929,5.0,479,['Thriller'],935,English,Publisher 34
The M7om89,Cstxbb Dpqucdnc,978-1948710149,1967,4.6,521,"['History', 'Mystery']",199,Chinese,Publisher 13
My Ro5zf6,Whpffn Dwihbymv,978-6733141386,1941,4.5,471,"['Romance', 'Science Fiction']",964,German,Publisher 17
The R4yfj7,Ysxbjq Wsgqxvsv,978-3972903374,1993,3.2,2974,"['Biography', 'Romance', 'Fiction']",688,Spanish,Publisher 4
My 5fxxwg,Dcqmee Hqccgy,978-9956784685,1989,2.2,1714,"['Fantasy', 'Classics']",368,Spanish,Publisher 28
My Ral7ah,Nbjwrs Rersgm,978-3075048298,2021,4.6,1187,"['Science Fiction', 'Fantasy']",536,German,Publisher 21
An D0jdbp,Naccx Rpeqlgf,978-2403429041,1979,4.2,702,['Fantasy'],755,English,Publisher 10
An 4cuxdh,Cozphz Vekcjqlw,978-4384684363,2008,2.3,2707,['Non-Fiction'],399,French,Publisher 8
The Rfemdb,Sdnucg Jtgxjd,978-9219896040,1986,3.6,558,"['History', 'Non-Fiction']",830,Spanish,Publisher 45
My Vjkyid,Xkobnred Cbpyv,978-2836219878,1941,3.6,2666,"['Fantasy', 'Non-Fiction']",245,Chinese,Publisher 15
My Yplxjh,Bcnxg Znivynbp,978-6971628820,1944,1.6,4358,"['Thriller', 'Non-Fiction']",701,Chinese,Publisher 25
The Te1mvj,Hjgph Bapkvq,978-8059076207,1999,4.8,2760,"['History', 'Science Fiction']",882,Chinese,Publisher 5
My Qc8khk,Vbyzomh Mfrod,978-5757549645,1970,4.1,103,"['Fantasy', 'History', 'Science Fiction']",174,Spanish,Publisher 13
An W4meyy,Brxrgrf Uxdfg,978-2311399370,1965,2.6,740,"['History', 'Romance', 'Non-Fiction']",723,Chinese,Publisher 29
An 9kq281,Jzwaq Sxnrfn,978-4295921040,1960,3.4,420,['Biography'],962,German,Publisher 4
An Hctg2x,Nvtjhl Tncdgs,978-1832911658,1983,2.1,2199,"['Science Fiction', 'Non-Fiction', 'Biography']",851,English,Publisher 32
A 71bdk3,Trdco Swvkrf,978-3208787712,1917,1.5,4625,"['Biography', 'Non-Fiction', 'Romance']",767,French,Publisher 25
My Whiojp,Lajeclfw Fsmiqogr,978-4155980701,2017,1.1,4624,"['Fiction', 'Thriller', 'Non-Fiction']",832,French,Publisher 11
My Gtfor4,Uzmpbhgk Uppolrei,978-2611264717,1970,1.5,885,['Science Fiction'],284,Spanish,Publisher 43
An 5mzgva,Ebsritrf Wiyawyw,978-5926613934,1979,3.8,1986,['Thriller'],649,French,Publisher 22
An Hbualf,Etvhfiye Dwpyluz,978-4502468744,1995,1.4,1186,"['Fiction', 'Romance']",913,German,Publisher 34
The Kcxn9y,Vdotvbb Pfchy,978-9007479489,2020,4.6,2757,['Biography'],887,German,Publisher 39
An P5iiad,Serul Mtkgm,978-3233542699,1900,1.4,2031,['Thriller'],230,English,Publisher 41
An Rnljg6,Spqrpa Whszxcc,978-8207183095,1997,3.2,2746,['Mystery'],73,German,Publisher 21
An N8leoc,Awvxwag Sjgwqo,978-4441182471,1913,4.2,2952,['Non-Fiction'],906,English,Publisher 9
My M5hixz,Eroaesz Stzlhrj,978-2109825637,2005,4.2,2155,"['Biography', 'Fiction']",291,English,Publisher 13
An Gvsex0,Vuuxwe Xxqrrr,978-4135358761,2006,2.2,4736,"['Fantasy', 'Non-Fiction', 'Mystery']",152,French,Publisher 28
A Odj1zx,Wosotq Kvenr,978-6520623104,2000,2.7,2528,"['Romance', 'Biography', 'Science Fiction']",830,English,Publisher 8
My 5uchyg,Hzhra Axfvum,978-4475970113,1914,4.1,168,"['History', 'Non-Fiction', 'Classics']",793,English,Publisher 41
My Qajqu0,Rsanzkv Idplyfqo,978-7827280268,1901,4.7,784,['Thriller'],71,Chinese,Publisher 37
An Ruerjf,Ideexi Mdjbfpmn,978-7132865354,1968,4.4,3686,"['Biography', 'Mystery']",94,German,Publisher 13
The X4tw3n,Qvsodwdv Thhoootu,978-3491520335,2013,4.3,4756,"['Fantasy', 'Fiction']",387,English,Publisher 24
An Qovgmf,Gddvew Htwtev,978-4464119590,2010,1.6,1114,"['Biography', 'Fantasy', 'Mystery']",601,French,Publisher 37
My Yfanra,Kikgz Fhmdnt,978-2740724614,1966,3.3,1481,"['Non-Fiction', 'Thriller']",518,French,Publisher 16
The Pnua82,Llxatk Yuyzw,978-7145235414,1929,4.7,1598,"['Mystery', 'History']",954,Spanish,Publisher 13
My Gt43ef,Bgcevm Unfxnblh,978-8480711116,1940,1.5,4280,['Thriller'],133,English,Publisher 25
My Deirt9,Yrsucb Hqejz,978-1404006206,1978,3.3,4459,"['Thriller', 'Science Fiction', 'Fiction']",280,Spanish,Publisher 36
A B1ybdp,Ysdpg Dqiae,978-8686607342,1926,2.6,745,"['Romance', 'Thriller', 'Non-Fiction']",138,German,Publisher 13
An 74p2s9,Mporn Cuxvr,978-5782193545,1922,3.0,4170,"['Classics', 'Biography', 'Fiction']",94,Chinese,Publisher 41
My Gughpm,Sswzk Vkvhwnkj,978-5341861538,1995,1.5,4805,"['Non-Fiction', 'Thriller', 'Fiction']",951,Spanish,Publisher 26
My Nrsdhx,Zevzmgar Wzrwvpe,978-7557045820,1979,4.6,1419,"['Science Fiction', 'Biography', 'Fantasy']",972,French,Publisher 1
The Bjbiki,Wxpukm Pxknwkki,978-5143033620,1928,1.2,754,['History'],326,Chinese,Publisher 2
My 7sl2fb,Wefittnk Voian,978-7444899311,1928,3.5,4567,"['Science Fiction', 'Romance', 'Thriller']",716,Chinese,Publisher 45
An Uh9oow,Kfzran Hslakflf,978-9878015409,1920,1.9,4667,"['Fantasy', 'Classics', 'Biography']",254,German,Publisher 47
An E0hv2f,Dhouzek Mghvwee,978-6914413510,2008,1.7,1238,"['Classics', 'Science Fiction']",874,French,Publisher 44
My Aoxytk,Eeewap Bxwyxpf,978-1443879853,1968,2.4,1063,"['Fiction', 'History']",794,Spanish,Publisher 7
A Hrmvrp,Asggibs Tkjypv,978-6714056049,1979,3.5,2100,"['Romance', 'History']",376,German,Publisher 40
The Frhrps,Mvkidc Qkbwir,978-9461954159,1988,1.3,4200,"['Fantasy', 'Romance', 'Classics']",442,Chinese,Publisher 41
My Yggx0z,Jtfxaxia Uqscka,978-8001627743,1945,3.5,4919,['Classics'],74,Chinese,Publisher 34
My Xfqfl8,Ivrpy Afbcfexe,978-4378431401,1909,3.2,3348,"['History', 'Non-Fiction', 'Classics']",611,German,Publisher 22
An Nucfl4,Cfzwcui Fikpd,978-1289254196,1921,1.6,2611,"['Fiction', 'Classics', 'Thriller']",763,English,Publisher 40
The Bjlnb1,Djjrevx Vbwqxhks,978-2437517127,1984,1.3,2650,"['Fantasy', 'Classics']",279,Spanish,Publisher 37
The Ufanfl,Egsbya Fmiiy,978-2667184204,1992,4.0,1237,"['Science Fiction', 'Classics']",360,German,Publisher 26
The Kzxmei,Pkaxoe Jukkr,978-2418765029,1975,1.4,3241,['Classics'],921,Chinese,Publisher 48
A Dvfcsp,Gnoaldpl Crbjua,978-1958628084,2020,3.1,3279,"['History', 'Non-Fiction']",416,Spanish,Publisher 44
An Xshi2k,Jbfiqg Vflqs,978-2608033085,1977,2.1,4104,['Fiction'],973,English,Publisher 45
An Osy8e5,Mbvwf Ekspls,978-8663425022,1962,2.6,261,['Fantasy'],597,Spanish,Publisher 28
My P61ihb,Ewibzaz Caezb,978-7565470903,1939,2.9,564,['Non-Fiction'],994,French,Publisher 46
A Imxokz,Azmajy Ixtxmg,978-3424794664,1926,3.4,3741,"['Romance', 'Science Fiction']",841,French,Publisher 46
The Kjiwag,Jwxvd Mgkpeqwh,978-8709633435,2004,3.8,185,['Romance'],769,German,Publisher 31
An Zaikl3,Pgyqx Fpjhsph,978-5409328503,2018,4.3,4326,['Fiction'],614,German,Publisher 37
A Unzm3i,Hsgzcym Mjqnbce,978-5363183468,1927,1.9,1106,"['History', 'Science Fiction', 'Thriller']",104,Chinese,Publisher 18
An Raq48f,Evvlhdx Uwcualrh,978-3327330916,1993,2.0,4971,"['Thriller', 'Non-Fiction', 'Science Fiction']",417,German,Publisher 7
An Xrkh4m,Gldeoxz Zsjpfzhh,978-7398198140,2023,2.1,1524,['Biography'],742,Spanish,Publisher 4
The Vjq8xs,Xpdsvwu Glovi,978-2083022089,1965,1.4,1118,['Classics'],80,French,Publisher 35
My 6mp6mq,Wjcdm Ywhbhwda,978-3899160130,2008,4.7,274,"['Fantasy', 'Fiction']",146,Spanish,Publisher 5
My Hv4evo,Ttjirum Jvhzm,978-1401450196,1980,3.2,96,"['Classics', 'Fantasy']",487,German,Publisher 13
My Aqihb8,Tkgui Rqxvoyc,978-1106220024,2008,4.8,2678,"['Classics', 'Mystery']",339,Chinese,Publisher 41
My Mg5zl1,Rudfqrma Fpwzz,978-3614871749,1992,4.6,1462,['Fiction'],322,German,Publisher 7
The With3w,Xyqhz Bwtns,978-3574711140,1981,2.3,1433,"['Non-Fiction', 'Fantasy']",502,Chinese,Publisher 48
A 0bohng,Gkadv Zgrvq,978-9151472430,1972,2.8,2777,['Non-Fiction'],593,Chinese,Publisher 36
A Hdavii,Qkqvia Himjv,978-9481523388,1968,2.4,1325,"['History', 'Fantasy']",590,English,Publisher 27
An Pu5w4v,Mpizhw Kniujzb,978-9405998307,1919,4.7,168,"['Non-Fiction', 'Thriller', 'History']",117,German,Publisher 11
The Xywjzk,Zzxebyp Gzhvmb,978-7152081714,1940,4.3,3652,['Mystery'],434,Spanish,Publisher 16
A M7lc3y,Ecftv Ykgitqkb,978-4404749652,1996,4.2,1083,"['History', 'Fantasy', 'Romance']",294,German,Publisher 18
An Aufala,Iwnod Zguvnx,978-2309830185,1945,3.0,1730,"['Fiction', 'Romance']",249,Spanish,Publisher 34
The 3v9gsb,Gweuxcxg Zdqoghrf,978-5263975181,1938,3.5,2872,"['Mystery', 'Fiction']",405,English,Publisher 47
